timestamp_et,market_title,outcome,side,size,price
2026-01-02 10:16:43,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:47,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.64
2026-01-02 10:16:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.65
2026-01-02 10:16:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.65
2026-01-02 10:16:53,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,5,0.37
2026-01-02 10:16:55,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.38
2026-01-02 10:16:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:17:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,21.01,0.71
2026-01-02 10:17:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.31
2026-01-02 10:17:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,3,0.31
2026-01-02 10:17:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.29
2026-01-02 10:17:37,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,5,0.34
2026-01-02 10:17:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.49
2026-01-02 10:18:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.47
2026-01-02 10:18:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.47
2026-01-02 10:18:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.47
2026-01-02 10:18:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.57
2026-01-02 10:18:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,15.9,0.45
2026-01-02 10:18:13,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:18:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,27.67,0.5
2026-01-02 10:18:33,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,26.25,0.56
2026-01-02 10:18:37,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.45
2026-01-02 10:18:37,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,4.9,0.45
2026-01-02 10:18:37,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.45
2026-01-02 10:18:51,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,6.71,0.44
2026-01-02 10:18:51,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,6,0.45
2026-01-02 10:18:55,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.53
2026-01-02 10:18:55,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.53
2026-01-02 10:18:55,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.53
2026-01-02 10:18:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.51
2026-01-02 10:18:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.51
2026-01-02 10:19:01,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.55
2026-01-02 10:19:01,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.55
2026-01-02 10:19:11,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.57
2026-01-02 10:19:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,5,0.56
2026-01-02 10:19:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.59
2026-01-02 10:19:43,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.62
2026-01-02 10:19:53,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,20.32,0.55
2026-01-02 10:20:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:20:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:20:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:20:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:20:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:20:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.51
2026-01-02 10:20:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.51
2026-01-02 10:20:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.6
2026-01-02 10:20:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,21,0.44
2026-01-02 10:20:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,17.77,0.45
2026-01-02 10:20:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.57
2026-01-02 10:20:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,5,0.57
2026-01-02 10:20:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.57
2026-01-02 10:20:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.57
2026-01-02 10:20:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,5,0.43
2026-01-02 10:20:45,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.62
2026-01-02 10:20:45,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.62
2026-01-02 10:20:47,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.62
2026-01-02 10:20:47,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.62
2026-01-02 10:20:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.65
2026-01-02 10:21:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.32
2026-01-02 10:21:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,23,0.32
2026-01-02 10:21:33,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.64
2026-01-02 10:22:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,0.6,0.74
2026-01-02 10:22:13,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,29,0.18
2026-01-02 10:23:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,29,0.79
2026-01-02 10:23:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,29,0.79
2026-01-02 10:23:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,29,0.79
2026-01-02 10:23:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,29,0.7
