Timestamp,TargetTime,Expiration,UpBid,UpAsk,UpMid,UpSpread,UpBidLiquidity,UpAskLiquidity,DownBid,DownAsk,DownMid,DownSpread,DownBidLiquidity,DownAskLiquidity
2026-01-03 15:10:46,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3532.34,3322.18,0.98,0.99,0.985,0.01,3322.18,3532.34
2026-01-03 15:10:47,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3532.34,3341.93,0.98,0.99,0.985,0.01,3341.93,3532.34
2026-01-03 15:10:48,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3466.34,3343.46,0.98,0.99,0.985,0.01,2907.66,3466.34
2026-01-03 15:10:49,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3516.34,2941.66,0.97,0.99,0.98,0.02,4157.66,3516.34
2026-01-03 15:10:50,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.03,0.02,0.02,3516.34,4157.66,0.98,0.99,0.985,0.01,3126.13,3685.71
2026-01-03 15:10:51,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3699.07,3120.13,0.98,0.99,0.985,0.01,3147.66,3699.07
2026-01-03 15:10:52,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,3599.07,3146.3,0.98,0.99,0.985,0.01,3213.83,2588.96
2026-01-03 15:10:53,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,2538.96,3235.27,0.98,0.99,0.985,0.01,3301.54,2538.96
2026-01-03 15:10:54,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,2538.96,3589.54,0.98,0.99,0.985,0.01,3605.07,2553.96
2026-01-03 15:10:55,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,1528.85,3658.34,0.98,0.99,0.985,0.01,3678.87,1528.85
2026-01-03 15:10:56,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,1251.68,4287.34,0.98,0.99,0.985,0.01,4311.34,1251.68
2026-01-03 15:10:57,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,1231.68,4526.87,0.98,0.99,0.985,0.01,4511.34,1231.68
2026-01-03 15:10:58,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,631.68,4523.87,0.98,0.99,0.985,0.01,4422.34,631.68
2026-01-03 15:10:59,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,478.47,4442.34,0.98,0.99,0.985,0.01,4785.34,478.47
2026-01-03 15:11:00,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,390.47,4874.34,0.98,0.99,0.985,0.01,4873.34,390.47
2026-01-03 15:11:01,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,5208.3,0.99,0.0,0.0,0.0,5208.3,0.0
2026-01-03 15:11:02,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,5254.55,0.99,0.0,0.0,0.0,5334.55,0.0
2026-01-03 15:11:03,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,5.0,5224.44,0.98,0.99,0.985,0.01,4784.74,315.95
2026-01-03 15:11:04,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,556.2,2905.28,0.97,0.98,0.975,0.01,3710.14,561.37
2026-01-03 15:11:05,2026-01-03 15:00:00,2026-01-03 15:15:00,0.02,0.03,0.025,0.01,591.37,3694.14,0.97,0.98,0.975,0.01,3694.14,911.37
2026-01-03 15:11:06,2026-01-03 15:00:00,2026-01-03 15:15:00,0.02,0.03,0.025,0.01,872.17,3917.14,0.98,0.99,0.985,0.01,3012.14,670.95
2026-01-03 15:11:07,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,665.95,2906.14,0.98,0.99,0.985,0.01,2844.14,739.95
2026-01-03 15:11:08,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,395.31,3291.14,0.98,0.99,0.985,0.01,3283.14,319.31
2026-01-03 15:11:09,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,2977.05,0.99,0.0,0.0,0.0,3007.04,0.0
2026-01-03 15:11:10,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,3315.84,0.99,0.0,0.0,0.0,3553.35,0.0
2026-01-03 15:11:11,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,3503.35,0.98,0.99,0.985,0.01,3876.12,74.0
2026-01-03 15:11:12,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,3259.88,0.99,0.0,0.0,0.0,3286.88,0.0
2026-01-03 15:11:13,2026-01-03 15:00:00,2026-01-03 15:15:00,0.01,0.02,0.015,0.01,165.79,3861.14,0.98,0.0,0.0,0.0,3871.32,0.0
2026-01-03 15:11:14,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.02,0.0,0.0,0.0,3967.64,0.98,0.0,0.0,0.0,3986.0,0.0
2026-01-03 15:11:15,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.02,0.0,0.0,0.0,3979.36,0.98,0.0,0.0,0.0,3979.36,0.0
2026-01-03 15:11:16,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.02,0.0,0.0,0.0,4128.36,0.98,0.0,0.0,0.0,4128.36,0.0
2026-01-03 15:11:20,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,11032.09,0.99,0.0,0.0,0.0,11032.09,0.0
2026-01-03 15:11:17,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.02,0.0,0.0,0.0,4259.36,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 15:11:28,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,12714.27,0.99,0.0,0.0,0.0,12765.66,0.0
2026-01-03 15:13:14,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18116.11,0.99,0.0,0.0,0.0,18116.11,0.0
2026-01-03 15:13:15,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18116.11,0.99,0.0,0.0,0.0,18116.11,0.0
2026-01-03 15:13:16,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18158.11,0.99,0.0,0.0,0.0,18158.11,0.0
2026-01-03 15:13:17,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18158.11,0.99,0.0,0.0,0.0,18158.11,0.0
2026-01-03 15:13:18,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18146.11,0.99,0.0,0.0,0.0,18146.11,0.0
2026-01-03 15:13:19,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18146.11,0.99,0.0,0.0,0.0,18146.11,0.0
2026-01-03 15:13:20,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18146.11,0.99,0.0,0.0,0.0,18146.11,0.0
2026-01-03 15:13:21,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18171.26,0.99,0.0,0.0,0.0,18146.26,0.0
2026-01-03 15:13:22,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18146.26,0.99,0.0,0.0,0.0,18116.11,0.0
2026-01-03 15:13:23,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18116.11,0.99,0.0,0.0,0.0,18100.11,0.0
2026-01-03 15:13:24,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18100.11,0.99,0.0,0.0,0.0,18052.11,0.0
2026-01-03 15:13:25,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18026.11,0.99,0.0,0.0,0.0,18026.11,0.0
2026-01-03 15:13:26,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18026.11,0.99,0.0,0.0,0.0,18026.11,0.0
2026-01-03 15:13:27,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18026.11,0.99,0.0,0.0,0.0,18026.11,0.0
2026-01-03 15:13:28,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18026.11,0.99,0.0,0.0,0.0,18026.11,0.0
2026-01-03 15:13:29,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18021.11,0.99,0.0,0.0,0.0,18021.11,0.0
2026-01-03 15:13:30,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18021.11,0.99,0.0,0.0,0.0,18051.26,0.0
2026-01-03 15:13:31,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18081.39,0.99,0.0,0.0,0.0,18081.39,0.0
2026-01-03 15:13:32,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18039.24,0.99,0.0,0.0,0.0,18039.24,0.0
2026-01-03 15:13:33,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18027.55,0.99,0.0,0.0,0.0,18027.55,0.0
2026-01-03 15:13:34,2026-01-03 15:00:00,2026-01-03 15:15:00,0.0,0.01,0.0,0.0,0.0,18027.6,0.99,0.0,0.0,0.0,18027.6,0.0
